2026-05-19 23:47:21 status half-installed libffi-dev:arm64 3.4.8-2
2026-05-19 23:47:21 status unpacked libffi-dev:arm64 3.4.8-2
2026-05-19 23:47:21 install libpng16-16t64:arm64 <none> 1.6.48-1+deb13u5
2026-05-19 23:47:21 status half-installed libpng16-16t64:arm64 1.6.48-1+deb13u5
2026-05-19 23:47:21 status unpacked libpng16-16t64:arm64 1.6.48-1+deb13u5
2026-05-19 23:47:21 install libfreetype6:arm64 <none> 2.13.3+dfsg-1+deb13u1
2026-05-19 23:47:21 status half-installed libfreetype6:arm64 2.13.3+dfsg-1+deb13u1
2026-05-19 23:47:21 status unpacked libfreetype6:arm64 2.13.3+dfsg-1+deb13u1
2026-05-19 23:47:21 install libfontconfig1:arm64 <none> 2.15.0-2.3
2026-05-19 23:47:21 status half-installed libfontconfig1:arm64 2.15.0-2.3
2026-05-19 23:47:21 status unpacked libfontconfig1:arm64 2.15.0-2.3
2026-05-19 23:47:21 install zlib1g-dev:arm64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2026-05-19 23:47:21 status half-installed zlib1g-dev:arm64 1:1.3.dfsg+really1.3.1-1+b1
2026-05-19 23:47:21 status unpacked zlib1g-dev:arm64 1:1.3.dfsg+really1.3.1-1+b1
2026-05-19 23:47:21 install libpng-dev:arm64 <none> 1.6.48-1+deb13u5
2026-05-19 23:47:21 status half-installed libpng-dev:arm64 1.6.48-1+deb13u5
2026-05-19 23:47:21 status unpacked libpng-dev:arm64 1.6.48-1+deb13u5
2026-05-19 23:47:21 install libfreetype-dev:arm64 <none> 2.13.3+dfsg-1+deb13u1
2026-05-19 23:47:21 status half-installed libfreetype-dev:arm64 2.13.3+dfsg-1+deb13u1
2026-05-19 23:47:21 status unpacked libfreetype-dev:arm64 2.13.3+dfsg-1+deb13u1
2026-05-19 23:47:21 install uuid-dev:arm64 <none> 2.41-5
2026-05-19 23:47:21 status half-installed uuid-dev:arm64 2.41-5
2026-05-19 23:47:22 status unpacked uuid-dev:arm64 2.41-5
2026-05-19 23:47:22 install libpkgconf3:arm64 <none> 1.8.1-4
2026-05-19 23:47:22 status half-installed libpkgconf3:arm64 1.8.1-4
2026-05-19 23:47:22 status unpacked libpkgconf3:arm64 1.8.1-4
2026-05-19 23:47:22 install pkgconf-bin:arm64 <none> 1.8.1-4
2026-05-19 23:47:22 status half-installed pkgconf-bin:arm64 1.8.1-4
2026-05-19 23:47:22 status unpacked pkgconf-bin:arm64 1.8.1-4
2026-05-19 23:47:22 install pkgconf:arm64 <none> 1.8.1-4
2026-05-19 23:47:22 status half-installed pkgconf:arm64 1.8.1-4
2026-05-19 23:47:22 status unpacked pkgconf:arm64 1.8.1-4
2026-05-19 23:47:22 install libfontconfig-dev:arm64 <none> 2.15.0-2.3
2026-05-19 23:47:22 status half-installed libfontconfig-dev:arm64 2.15.0-2.3
2026-05-19 23:47:22 status unpacked libfontconfig-dev:arm64 2.15.0-2.3
2026-05-19 23:47:22 install libfontconfig1-dev:arm64 <none> 2.15.0-2.3
2026-05-19 23:47:22 status half-installed libfontconfig1-dev:arm64 2.15.0-2.3
2026-05-19 23:47:22 status unpacked libfontconfig1-dev:arm64 2.15.0-2.3
2026-05-19 23:47:22 install libgdbm-dev:arm64 <none> 1.24-2
2026-05-19 23:47:22 status half-installed libgdbm-dev:arm64 1.24-2
2026-05-19 23:47:22 status unpacked libgdbm-dev:arm64 1.24-2
2026-05-19 23:47:22 install liblzma-dev:arm64 <none> 5.8.1-1
2026-05-19 23:47:22 status half-installed liblzma-dev:arm64 5.8.1-1
2026-05-19 23:47:22 status unpacked liblzma-dev:arm64 5.8.1-1
2026-05-19 23:47:22 install libncurses6:arm64 <none> 6.5+20250216-2
2026-05-19 23:47:22 status half-installed libncurses6:arm64 6.5+20250216-2
2026-05-19 23:47:22 status unpacked libncurses6:arm64 6.5+20250216-2
2026-05-19 23:47:22 install libncurses-dev:arm64 <none> 6.5+20250216-2
2026-05-19 23:47:22 status half-installed libncurses-dev:arm64 6.5+20250216-2
2026-05-19 23:47:22 status unpacked libncurses-dev:arm64 6.5+20250216-2
2026-05-19 23:47:22 install libreadline-dev:arm64 <none> 8.2-6
2026-05-19 23:47:22 status half-installed libreadline-dev:arm64 8.2-6
2026-05-19 23:47:22 status unpacked libreadline-dev:arm64 8.2-6
2026-05-19 23:47:22 install libsqlite3-dev:arm64 <none> 3.46.1-7+deb13u1
2026-05-19 23:47:22 status half-installed libsqlite3-dev:arm64 3.46.1-7+deb13u1
2026-05-19 23:47:22 status unpacked libsqlite3-dev:arm64 3.46.1-7+deb13u1
2026-05-19 23:47:22 install libssl-dev:arm64 <none> 3.5.6-1~deb13u1
2026-05-19 23:47:22 status half-installed libssl-dev:arm64 3.5.6-1~deb13u1
2026-05-19 23:47:22 status unpacked libssl-dev:arm64 3.5.6-1~deb13u1
2026-05-19 23:47:22 install libtcl8.6:arm64 <none> 8.6.16+dfsg-1
2026-05-19 23:47:22 status half-installed libtcl8.6:arm64 8.6.16+dfsg-1
2026-05-19 23:47:22 status unpacked libtcl8.6:arm64 8.6.16+dfsg-1
2026-05-19 23:47:22 install libxau6:arm64 <none> 1:1.0.11-1
2026-05-19 23:47:22 status half-installed libxau6:arm64 1:1.0.11-1
2026-05-19 23:47:22 status unpacked libxau6:arm64 1:1.0.11-1
2026-05-19 23:47:22 install libxdmcp6:arm64 <none> 1:1.1.5-1
